Just received the product couple of minutes ago.  Giving 3 stars coz the package was damaged and the sole plate has scratches already at 2 places at the bottom of sole plate (See photos). Working wise, it heated up quite quickly. Would rate 4 stars for that. Bought it for ₹399.	Manjunath J.S.	28 January 2018	Scratches on the sole plate & damaged packing	3.0 out of 5 stars
Worst quality iron box. Never expected from Amazon. Will never buy any thing from Orpat. Could not use it for a week.	Ahmad Nainar	13 May 2017	Bad quality	1.0 out of 5 stars
Received half an hour back.. used it and found it very light in weight and it is serving the purpose.	Sanjeet Sharma	22 March 2018	Satisfied...	4.0 out of 5 stars
Quick to heat up, Light in weight and easy to handle.	M V	31 October 2017	Light in weight and easy to handle	4.0 out of 5 stars
still using	saurabh	15 May 2018	Five Stars	5.0 out of 5 stars
After first shirt iron, it stopped working, unfortunately opened it after return date :-(	Ramu	28 August 2018	I could able to iron only one shirt	1.0 out of 5 stars
NO PRODUCT IS DEFECTIVE ONE AND WORKED ONLY FOR 20 DAYS, NOW PRODUCT IS NOT IN WORKING CONDITION. COMPANY SERVICE CENTER IS NOT CO-OPERATING. KINDLY REFUND MY MONEY	DHARMINDER GARG	31 December 2016	NO PRODUCT IS DEFECTIVE ONE AND WORKED ONLY FOR 20 ...	1.0 out of 5 stars
Not a, perfect product, but for the price u paid it delivers its job more than its worth, heats up quickly but perfect  winkle free iron is not possible, I bought it as a stand by to my Philips iron box, it does its job	Srikanth	30 July 2017	Quality is worth the price	4.0 out of 5 stars
A great product for a such a less prices.  I got this for Rs. 349.  It arrived in time in a good packing.  The color and other specifications are correct and the product is working fine.  I am overall happy with whole deal.  Thank you amazon...	Amazon Customer	29 July 2016	A great product for a such a less prices	5.0 out of 5 stars
I purchased  an iron from Amazon “Orpat OEI 187 1200-Watt Dry Iron” and so far it has burned many of my clothes, no matter what temperature I set it to but heat remains same.	Amir Khan	18 April 2018	Very disappointed. I have attached the bill	1.0 out of 5 stars
Very cheap quality product	sundari	25 October 2017	Worst quality	1.0 out of 5 stars
Worst porduct.Sudden rise and fall in temperature. as u need some extra care for u r clothes else it will gone don't buy this go with a quality one	Amazon Customer	4 March 2017	Worst and diassapoint product	1.0 out of 5 stars
Does not heat up as 1200w iron should. Can't iron cotton clothes with this.	Amazon Customer	4 October 2017	One Star	1.0 out of 5 stars
My first product from Amazon....very very nice packaging,lable also a good,billing,and the important thing is that the product is so good....I mean as expected got from Amazon...	Pratik Pangal.	27 January 2018	Excellent product...	5.0 out of 5 stars
Its a damn product don't buy this product.because this a cheap quality iron box its damaged my 3 valuable cloths.when this iron is heated that time the bottom plate produce some chemicals that destroy your cloth.now I throw this box in my dustbin so frnds don't buy this one because you get totally loss of your valuable things don't get fooll like me	Amazon Customer	24 August 2016	now I throw this box in my dustbin so frnds don't buy this one because you get totally loss of your valuable things don't get fo	1.0 out of 5 stars
Quite happy with the purchase. Fortunately got a product which works completely fine, with an easy grip to hold. Creases disappear in less than a minute. Got it for a good discount as well.  Have been using for the last six months. No complaint so far. One can for it without hesitation, provided one gets a discount.	roza ahmed.	18 September 2018	Quite happy with the purchase!	4.0 out of 5 stars
Not Satisfied!!	Amarnath Chell	20 April 2017	Not Satisfied!! Actual quite unexpected things happened	1.0 out of 5 stars
it's really easy to iron with this - even on daily basis.	Amazon Customer	29 April 2018	it's really easy to iron with this - even on daily basis	5.0 out of 5 stars
Just awesome. I felt so good about the iron. It is quicly heat up and quicly cool off. Its automatic and very light in wait. I m totally satisfied. Highly recommended. Price is unbeatable	priyanka	7 August 2016	V. V. Nice iron	5.0 out of 5 stars
Product stopped working after 6 months ,not recommended for home.only suitable for travel.don't buy this for long term.. quality is poor.	Visakh PK	7 April 2017	poor quality product	2.0 out of 5 stars
Good quality for this price range .. stylish and nicely designed..	sanketh	9 December 2017	Five Stars	5.0 out of 5 stars
It is a nice iron.Good quality provided.Works very well.Worth a buy.Packaging was good.Delivery was fast and efficient.Worth the price.Worth second buy too.	Mrs.Ivo Pereira	27 March 2018	It is a nice iron. Good quality provided	5.0 out of 5 stars
Does its job.. quality good..nice but at this rate..got it under 600 bucks under offer... received PDT on time.	rahul	25 August 2017	Good pdt..	5.0 out of 5 stars
Good for the price, kind of spare one but working like a charm for quick ironing	Irfan K.	30 November 2017	Five Stars	5.0 out of 5 stars
WORTH of Money!!! Strongly Recommended to every Indian!	somnath	8 October 2017	BEST IRON EVER :)	5.0 out of 5 stars
orpat products are good..	Rames	13 October 2017	Five Stars	5.0 out of 5 stars
A great Iron at a very affordable price.	Jigar	19 August 2017	Affordable price	5.0 out of 5 stars
I have purchased this orpat Iron on 1st Feb and now on its fifth month it has stop working and when I asked the company then I was very rudely told that we don't have any service center in your area and u have to take the iron to our service center which was 300km away from my town .I will never recommend this product for any one .	saurav a.	10 July 2018	Not a good product	1.0 out of 5 stars
A good product at the price .I got it in lightning deal .it is value for money .I am	bharath kumar	16 August 2017	Just go ahead and buy.	4.0 out of 5 stars
I got this at an attractive offer price of Rs.399. The sole is big enough to iron our regular cloths. And it gets heated up very quickly. I personally feel like the product looks bulkier than in the picture, but no complaints for this price range. Its only been a couple of days since I bought this but overall, its a good product.	Jeyabal	9 April 2018	A good product for the price	4.0 out of 5 stars
Heating is good, looks good and light weight. But non stick coating is not as good as expected, may be due to its low price.	Jai-Amazon Customer	26 April 2016	ok	3.0 out of 5 stars
purchased on discounted price......  Rs 350.....mast product	Hemant	26 April 2017	Five Stars	5.0 out of 5 stars
a66a hain, value for money. But not so #hifi	BASUDEB BISWAS	27 October 2017	Value for money	3.0 out of 5 stars
Gets overheated immediately after 2 months use. Ironing cotton shirts by setting  cotton  as temperature still my cloth got damaged and a coating was formed on the iron	RITVIK MOHAPATRA	3 October 2016	Bad quality	2.0 out of 5 stars
Nice produc rates are also reasonable. Looking very nice n expensive.features are also good n easy. Happy with the product	MANJU YADAV	13 May 2017	nice one	5.0 out of 5 stars
Outstanding product, value for money	Ali	2 July 2017	Go for it.....	5.0 out of 5 stars
Got in a deal price of 350.worth every penny. Its been 1.5 years since i bought n ita working perfectly fine. Go for it guys..	malay patel	7 August 2017	5 years since i bought n ita working perfectly fine. Go for it guys	5.0 out of 5 stars
Superb product and original I bought it during festival sell @349 but it is also perfect for it original price	MD GHOUSE 	15 April 2017	... it during festival sell @349 but it is also perfect for it original price	5.0 out of 5 stars
17Jan, ko two product purchase kiya .lekin after four month k baad one product dead ho chuka,two year warranty hai lekin product kaha bheje ,amezon ne orpate ka contact no, diya lekin call koi recive nahi karta,isliye product bakwas hai .mai to yahi khunga k koibhi is product ko na kharide.	Abed Ubed chaus	15 July 2018	17Jan, ko two product purchase kiya. lekin after ...	1.0 out of 5 stars
Lightweight but it gets the job done. Gets heated up quickly, quality feels great. This is a no-doubter.	variableme	2 August 2017	Cheapest best you can get	5.0 out of 5 stars
This product is only good till the time it’s working, if it stopped working , you will continue to wonder about its customer service and warranty. 2 year warranty is a gimmick to attract  customers no service is provided. kindly don't waste your money  on this .	HIMANSHU	23 August 2018	Lasts only for few months	2.0 out of 5 stars
Served the purpose pretty well. Quite sturdy and good quality material delivered by seller. We as bachelors were satisfied by it.	Vibhor Vaish	7 May 2018	At 400 bucks , go for it.	4.0 out of 5 stars
Don't buy it orpat service is very bad customer care numbers are not in service after use of one year it is totally worst product bcoz in this we cannot change element full plate will be charged and it cost equal to new one iron. And service center will not give service on amazon bill also	Amazon Customer	9 November 2018	Orpat customer care service / service centre is worst even customer care numbers is not working	1.0 out of 5 stars
DELIVERED A NON FUNCTIONAL IRON THE FIRST TIME, PROMPTLY REPLACED BY A NEW ONE WHICH IS WORKING AS EXPECTED. THANKS!	Amazon Customer	6 April 2016	GOOD DEAL AT 299 RUPEES	4.0 out of 5 stars
Lovely product	Abuzar Salahuddin	23 August 2017	Five Stars	5.0 out of 5 stars
excellent.  works well,  fast heating.  100%  value for money	Rupesh Kumar	5 July 2016	excellent item.	5.0 out of 5 stars
should consider some other iron but if you have shoestring budget then you can go for this. This isnt very compatible with light weighted clothes and can burn your clothes while ironing	Koumal Kakker	13 September 2018	Its just about ok!	3.0 out of 5 stars
Got it sale.only one thing ie there is not any replacement of this product.	RAVI RANJAN KUMAR	14 August 2017	Go for it	5.0 out of 5 stars
Awesome product very happy with the product thanks a lot Amazon....... Damn 😊	Customer	20 October 2017	Five Stars	5.0 out of 5 stars
Good one. It  is very light and one has to use pressure to iron the clothes. value for money!	"DIV"	7 September 2018	value for money!	4.0 out of 5 stars
Full on disire complete... Its working awesome... Cool design.. Easy to handle... Thir is no need to push heavy to press cloths..	Bhavesh	2 July 2017	Awesome product thanks amazon.in	5.0 out of 5 stars
Good product. U can't get better dry iron in this price. Wire is long. Gets heated up instantly. Tried it on both expensive and cheap shirts, it didn't burnt or sticked with shirts.	Ashish Joshi	1 March 2018	Good product. U can't get better dry iron in ...	5.0 out of 5 stars
I am writing this review after 4 and half months of usage.. the product has stopped working now. I hardly used it. The usage was once or twice a week for very light weighted clothes. Now I am not sure where do I search for a service center from	Amazon Customer	20 April 2018	Not worth.	1.0 out of 5 stars
Didn't even work well for complete two years. I don't really recommend it. I saw the brand and trusted it. But USHA is better.	Amazon Customer	4 December 2017	I don't really recommend it. I saw the brand and trusted it	2.0 out of 5 stars
Good product it heats very rapidly so that it's the best iron	E prasant	1 October 2017	Four Stars	4.0 out of 5 stars
Nice thanks for cloudtail,	Pawan Singh	27 March 2017	Value for money	5.0 out of 5 stars
worst product stopped working after  exactly 1 month	Shaik Neelofar	3 January 2018	One Star	1.0 out of 5 stars
Never imagined I’ll ever write a revie for an iron. But on a budget this iron works far better than double or triple the price of the completion. Heating plate is perfect.	Nathan	14 January 2018	Great Iron	4.0 out of 5 stars
Very good iron box, light weight and quickly reaching required temp. and automatically cuts off. Thanks to Amazon team.	SEETHARAMAN R	27 January 2018	Five Stars	5.0 out of 5 stars
The product is not working now. It's Not even months since I opened it but now not working	Srilakshmi Narayana Maddu	24 July 2017	Not heating now	1.0 out of 5 stars
It's the best quality I have bought at this 280 rupees guys.If u have the change go for it with out any hesitation	Wow	21 November 2016	Great Quality	5.0 out of 5 stars
It doesn't deserve even 1 star because once it damages your cloth , you will regret for months why you bought it first place just by falling in price trap.	Amazon Customer	29 January 2017	Damaged my new cloth	1.0 out of 5 stars
not exactly looks how its in image. But working good, its been 1 month, will update after 6 months. Bought in Lightening deal.	Vignesh	20 September 2016	may be	3.0 out of 5 stars
best product working well nice	Sanjay vishwakarma	6 February 2017	exilent	5.0 out of 5 stars
Good finish... nice colour combination... light hence maneuvers with ease... heats up pretty quickly... good length of attached cable...all n all an excellent product especially for the price (Rs.349) I picked it up for on a lightening deal...!!!	Elton Coutinho	3 February 2017	Excellent Product...!!!	5.0 out of 5 stars
I bought one few months ago and totally disappointed with its perfomance.its heat regulator doesn't work well.plug is not suitable for common socket.you need to use all your hand power to unplug it.It usually burns cloths.I beg you to avoid buying this product.	Boban	23 May 2018	I bought one few months ago and totally disappointed with its perfomance	1.0 out of 5 stars
It's ok type iron. After sell service is very poor your can not found any place to use your warranty in Ahmedabad like city. When you call on service center number it's out of service.	niraj tahakar	14 October 2018	Don't purchase orpet's iron .	2.0 out of 5 stars
This iron is very very light weight and heats up easily. It is very usefull and easy to carry anywhere. Its a value for money. Just go for it but only when it is in sale or else you have to spend a bit more money for the same product	Akshay soni	12 August 2018	Light and usefull product.	4.0 out of 5 stars
High watt and so works great as expected.	Rajat Bhadani	30 November 2017	Four Stars	4.0 out of 5 stars
Best one. Functioning is good. A littl heavier and large plate area giVing good ironing.	ANURAAG	7 December 2017	Five Stars	5.0 out of 5 stars
good product	zequessingon	10 March 2018	Five Stars	5.0 out of 5 stars
cheap and best,works like a charm,heats up quickly.automatically powers ON and OFF to keeps correct heat for correct cloth type.	Santhosh	4 May 2016	Best in the price range.	5.0 out of 5 stars
